"Date","Supply on Exchanges"
"2019-07-10T00:00:00.000Z","1794664.6373081105"
"2019-07-11T00:00:00.000Z","1808953.6400409886"
"2019-07-12T00:00:00.000Z","1776526.127981198"
"2019-07-13T00:00:00.000Z","1774533.7040036079"
"2019-07-14T00:00:00.000Z","1779168.2665715474"
"2019-07-15T00:00:00.000Z","1781158.3688941074"
"2019-07-16T00:00:00.000Z","1779559.272866477"
"2019-07-17T00:00:00.000Z","1794958.0170460977"
"2019-07-18T00:00:00.000Z","1795358.6479303562"
"2019-07-19T00:00:00.000Z","1796896.6288902268"
"2019-07-20T00:00:00.000Z","1797668.6871924568"
"2019-07-21T00:00:00.000Z","1799712.5010909669"
"2019-07-22T00:00:00.000Z","1799607.3100326438"
"2019-07-23T00:00:00.000Z","1803584.2073396738"
"2019-07-24T00:00:00.000Z","1804702.4202846931"
"2019-07-25T00:00:00.000Z","1803113.1394036608"
"2019-07-26T00:00:00.000Z","1798855.3961459904"
"2019-07-27T00:00:00.000Z","1799240.2152370303"
"2019-07-28T00:00:00.000Z","1800475.1151560403"
"2019-07-29T00:00:00.000Z","1802559.5645617635"
"2019-07-30T00:00:00.000Z","1805664.6127087334"
"2019-07-31T00:00:00.000Z","1803413.2748822435"
"2019-08-01T00:00:00.000Z","1805954.1367854236"
"2019-08-02T00:00:00.000Z","1811881.299877404"
"2019-08-03T00:00:00.000Z","1813702.789886284"
"2019-08-04T00:00:00.000Z","1815441.387126434"
"2019-08-05T00:00:00.000Z","1820776.7766341327"
"2019-08-06T00:00:00.000Z","1821696.3887062727"
"2019-08-07T00:00:00.000Z","1824748.5179684046"
"2019-08-08T00:00:00.000Z","1827743.3737255237"
"2019-08-09T00:00:00.000Z","1828963.4027667237"
"2019-08-10T00:00:00.000Z","1831095.2675543139"
"2019-08-11T00:00:00.000Z","1833486.9049998934"
"2019-08-12T00:00:00.000Z","1836048.218552734"
"2019-08-13T00:00:00.000Z","1840553.6598446437"
"2019-08-14T00:00:00.000Z","1841818.019978454"
"2019-08-15T00:00:00.000Z","1838207.9478070338"
"2019-08-16T00:00:00.000Z","1831711.288733744"
"2019-08-17T00:00:00.000Z","1834596.920216064"
"2019-08-18T00:00:00.000Z","1836158.235480284"
"2019-08-19T00:00:00.000Z","1837419.408915294"
"2019-08-20T00:00:00.000Z","1846865.4928386065"
"2019-08-21T00:00:00.000Z","1846160.5454166355"
"2019-08-22T00:00:00.000Z","1843618.0955819772"
"2019-08-23T00:00:00.000Z","1844529.3673393868"
"2019-08-24T00:00:00.000Z","1843913.992029297"
"2019-08-25T00:00:00.000Z","1843826.480677427"
"2019-08-26T00:00:00.000Z","1847432.9294984166"
"2019-08-27T00:00:00.000Z","1846756.6995726468"
"2019-08-28T00:00:00.000Z","1846271.9332057168"
"2019-08-29T00:00:00.000Z","1842217.817728926"
"2019-08-30T00:00:00.000Z","1837183.6794449561"
"2019-08-31T00:00:00.000Z","1837696.5278264575"
"2019-09-01T00:00:00.000Z","1839556.0001867695"
"2019-09-02T00:00:00.000Z","1844001.2601862194"
"2019-09-03T00:00:00.000Z","1847854.5471550294"
"2019-09-04T00:00:00.000Z","1823873.887266199"
"2019-09-05T00:00:00.000Z","1831481.0915210193"
"2019-09-06T00:00:00.000Z","1835516.1377529295"
"2019-09-07T00:00:00.000Z","1834631.6335265595"
"2019-09-08T00:00:00.000Z","1836690.1869008294"
"2019-09-09T00:00:00.000Z","1841158.3181128197"
"2019-09-10T00:00:00.000Z","1838914.17198999"
"2019-09-11T00:00:00.000Z","1839400.4934151098"
"2019-09-12T00:00:00.000Z","1843711.5263990597"
"2019-09-13T00:00:00.000Z","1845408.7997689897"
"2019-09-14T00:00:00.000Z","1846243.0247684394"
"2019-09-15T00:00:00.000Z","1848299.1739788994"
"2019-09-16T00:00:00.000Z","1848314.0763684695"
"2019-09-17T00:00:00.000Z","1853226.9259012507"
"2019-09-18T00:00:00.000Z","1854066.1478746196"
"2019-09-19T00:00:00.000Z","1855779.6091205897"
"2019-09-20T00:00:00.000Z","1860689.0881123699"
"2019-09-21T00:00:00.000Z","1865394.9349139896"
"2019-09-22T00:00:00.000Z","1865858.9363218704"
"2019-09-23T00:00:00.000Z","1865897.1375889303"
"2019-09-24T00:00:00.000Z","1876626.8731399304"
"2019-09-25T00:00:00.000Z","1886850.78588937"
"2019-09-26T00:00:00.000Z","1887952.98073313"
"2019-09-27T00:00:00.000Z","1886344.9366187595"
"2019-09-28T00:00:00.000Z","1886731.9314984595"
"2019-09-29T00:00:00.000Z","1885070.1782624295"
"2019-09-30T00:00:00.000Z","1885885.40099373"
"2019-10-01T00:00:00.000Z","1888642.161029261"
"2019-10-02T00:00:00.000Z","1888717.5263511208"
"2019-10-03T00:00:00.000Z","1886349.4811205508"
"2019-10-04T00:00:00.000Z","1888273.5243357406"
"2019-10-05T00:00:00.000Z","1890698.1657786705"
"2019-10-06T00:00:00.000Z","1891678.6956821305"
"2019-10-07T00:00:00.000Z","1891342.6486707907"
"2019-10-08T00:00:00.000Z","1895911.0904131408"
"2019-10-09T00:00:00.000Z","1898325.749767991"
"2019-10-10T00:00:00.000Z","1901672.545010221"
"2019-10-11T00:00:00.000Z","1889681.2558436103"
"2019-10-12T00:00:00.000Z","1888777.9839774503"
"2019-10-13T00:00:00.000Z","1891356.9852749"
"2019-10-14T00:00:00.000Z","1888381.3779898975"
"2019-10-15T00:00:00.000Z","1894983.0619463068"
"2019-10-16T00:00:00.000Z","1894453.5534755688"
"2019-10-17T00:00:00.000Z","1893119.8057685485"
"2019-10-18T00:00:00.000Z","1886487.1214153883"
"2019-10-19T00:00:00.000Z","1885764.6199975382"
"2019-10-20T00:00:00.000Z","1886716.8132974382"
"2019-10-21T00:00:00.000Z","1886723.701322288"
"2019-10-22T00:00:00.000Z","1880961.9180187185"
"2019-10-23T00:00:00.000Z","1881385.8842429784"
"2019-10-24T00:00:00.000Z","1880960.5157053187"
"2019-10-25T00:00:00.000Z","1900020.9206203483"
"2019-10-26T00:00:00.000Z","1913401.9232670877"
"2019-10-27T00:00:00.000Z","1916914.1872292778"
"2019-10-28T00:00:00.000Z","1867310.5407742972"
"2019-10-29T00:00:00.000Z","1867227.0305901968"
"2019-10-30T00:00:00.000Z","1871074.5915656176"
"2019-10-31T00:00:00.000Z","1874650.7509196475"
"2019-11-01T00:00:00.000Z","1876638.7139926478"
"2019-11-02T00:00:00.000Z","1879014.2211645776"
"2019-11-03T00:00:00.000Z","1879695.3072480483"
"2019-11-04T00:00:00.000Z","1878971.1083207082"
"2019-11-05T00:00:00.000Z","1884303.2048887175"
"2019-11-06T00:00:00.000Z","1901341.9837730778"
"2019-11-07T00:00:00.000Z","1903567.3454160478"
"2019-11-08T00:00:00.000Z","1895083.0964811177"
"2019-11-09T00:00:00.000Z","1895536.4720677978"
"2019-11-10T00:00:00.000Z","1896509.2176760377"
"2019-11-11T00:00:00.000Z","1899916.7942377378"
"2019-11-12T00:00:00.000Z","1894070.2731085478"
"2019-11-13T00:00:00.000Z","1909878.0879659578"
"2019-11-14T00:00:00.000Z","1893352.3539302675"
"2019-11-15T00:00:00.000Z","1894723.312824957"
"2019-11-16T00:00:00.000Z","1896614.336278757"
"2019-11-17T00:00:00.000Z","1897796.4366421571"
"2019-11-18T00:00:00.000Z","1909039.4466366472"
