datetime,bitcoin_price_usd
2019-07-26 00:00:00+00:00,9870.30353766
2019-07-27 00:00:00+00:00,9477.67767811
2019-07-28 00:00:00+00:00,9548.17889422
2019-07-29 00:00:00+00:00,9522.32895542
2019-07-30 00:00:00+00:00,9604.05115871
2019-07-31 00:00:00+00:00,10085.6277491
2019-08-01 00:00:00+00:00,10399.6694229
2019-08-02 00:00:00+00:00,10519.278349
2019-08-03 00:00:00+00:00,10821.7265103
2019-08-04 00:00:00+00:00,10970.1842157
2019-08-05 00:00:00+00:00,11811.5450274
2019-08-06 00:00:00+00:00,11478.1693461
2019-08-07 00:00:00+00:00,11941.9683406
2019-08-08 00:00:00+00:00,11966.407405
2019-08-09 00:00:00+00:00,11861.5566954
2019-08-10 00:00:00+00:00,11354.0242177
2019-08-11 00:00:00+00:00,11523.5793784
2019-08-12 00:00:00+00:00,11382.6159562
2019-08-13 00:00:00+00:00,10895.8304358
2019-08-14 00:00:00+00:00,10051.7039313
2019-08-15 00:00:00+00:00,10311.545429
2019-08-16 00:00:00+00:00,10374.3393471
2019-08-17 00:00:00+00:00,10231.7438454
2019-08-18 00:00:00+00:00,10345.8103795
2019-08-19 00:00:00+00:00,10916.0538702
2019-08-20 00:00:00+00:00,10763.2326304
2019-08-21 00:00:00+00:00,10138.049355
2019-08-22 00:00:00+00:00,10131.0561021
2019-08-23 00:00:00+00:00,10407.965329
2019-08-24 00:00:00+00:00,10159.9605385
2019-08-25 00:00:00+00:00,10138.517665
2019-08-26 00:00:00+00:00,10370.8201605
2019-08-27 00:00:00+00:00,10185.4998997
2019-08-28 00:00:00+00:00,9754.42327325
2019-08-29 00:00:00+00:00,9510.20054413
2019-08-30 00:00:00+00:00,9598.17364826
2019-08-31 00:00:00+00:00,9630.66384768
2019-09-01 00:00:00+00:00,9757.97031807
2019-09-02 00:00:00+00:00,10346.7607927
2019-09-03 00:00:00+00:00,10621.1803306
2019-09-04 00:00:00+00:00,10594.4933536
2019-09-05 00:00:00+00:00,10575.533284
2019-09-06 00:00:00+00:00,10353.3025592
2019-09-07 00:00:00+00:00,10517.254784
2019-09-08 00:00:00+00:00,10441.275979
2019-09-09 00:00:00+00:00,10334.9741628
2019-09-10 00:00:00+00:00,10115.9757913
2019-09-11 00:00:00+00:00,10178.3718893
2019-09-12 00:00:00+00:00,10410.1268031
2019-09-13 00:00:00+00:00,10360.5472773
2019-09-14 00:00:00+00:00,10358.0491621
2019-09-15 00:00:00+00:00,10347.7129074
2019-09-16 00:00:00+00:00,10276.7935649
2019-09-17 00:00:00+00:00,10241.2721545
2019-09-18 00:00:00+00:00,10198.2484072
2019-09-19 00:00:00+00:00,10266.4149694
2019-09-20 00:00:00+00:00,10181.6413094
2019-09-21 00:00:00+00:00,10019.7169101
2019-09-22 00:00:00+00:00,10067.9626513
2019-09-23 00:00:00+00:00,9729.32376435
2019-09-24 00:00:00+00:00,8620.56642733
2019-09-25 00:00:00+00:00,8486.99297206
2019-09-26 00:00:00+00:00,8118.96756783
2019-09-27 00:00:00+00:00,8251.84555744
2019-09-28 00:00:00+00:00,8245.91515478
2019-09-29 00:00:00+00:00,8104.22636732
2019-09-30 00:00:00+00:00,8293.86774062
2019-10-01 00:00:00+00:00,8343.2766814
2019-10-02 00:00:00+00:00,8393.04164486
2019-10-03 00:00:00+00:00,8259.49447523
2019-10-04 00:00:00+00:00,8205.93924121
2019-10-05 00:00:00+00:00,8151.50052921
2019-10-06 00:00:00+00:00,7988.15595888
2019-10-07 00:00:00+00:00,8245.622933
2019-10-08 00:00:00+00:00,8228.7831528
2019-10-09 00:00:00+00:00,8595.73981722
2019-10-10 00:00:00+00:00,8586.47342543
2019-10-11 00:00:00+00:00,8321.75671178
2019-10-12 00:00:00+00:00,8336.55527417
2019-10-13 00:00:00+00:00,8321.00574668
2019-10-14 00:00:00+00:00,8374.6864467
2019-10-15 00:00:00+00:00,8205.36931588
2019-10-16 00:00:00+00:00,8047.52686305
2019-10-17 00:00:00+00:00,8103.91137325
2019-10-18 00:00:00+00:00,7973.20744597
2019-10-19 00:00:00+00:00,7988.56044241
2019-10-20 00:00:00+00:00,8222.07826034
2019-10-21 00:00:00+00:00,8243.72113905
2019-10-22 00:00:00+00:00,8078.20332194
2019-10-23 00:00:00+00:00,7514.67201276
2019-10-24 00:00:00+00:00,7493.48873154
2019-10-25 00:00:00+00:00,8667.57715496
2019-10-26 00:00:00+00:00,9244.97220867
2019-10-27 00:00:00+00:00,9551.7149631
2019-10-28 00:00:00+00:00,9256.14838876
2019-10-29 00:00:00+00:00,9427.68758384
2019-10-30 00:00:00+00:00,9205.72655905
2019-10-31 00:00:00+00:00,9199.58483269
2019-11-01 00:00:00+00:00,9259.78300285
2019-11-02 00:00:00+00:00,9324.71776331
2019-11-03 00:00:00+00:00,9235.35487947
2019-11-04 00:00:00+00:00,9412.61187106
2019-11-05 00:00:00+00:00,9342.52717939
2019-11-06 00:00:00+00:00,9360.87991187
2019-11-07 00:00:00+00:00,9267.56114253
2019-11-08 00:00:00+00:00,8804.88071936
2019-11-09 00:00:00+00:00,8813.58248677
2019-11-10 00:00:00+00:00,9055.52605732
2019-11-11 00:00:00+00:00,8757.78854226
2019-11-12 00:00:00+00:00,8815.66253925
2019-11-13 00:00:00+00:00,8808.2625823
2019-11-14 00:00:00+00:00,8708.09509517
2019-11-15 00:00:00+00:00,8491.99201234
2019-11-16 00:00:00+00:00,8550.76055694
2019-11-17 00:00:00+00:00,8577.9757816
2019-11-18 00:00:00+00:00,8309.28598342
2019-11-19 00:00:00+00:00,8203.61317991
2019-11-20 00:00:00+00:00,8027.26824331
2019-11-21 00:00:00+00:00,7642.74994484
2019-11-22 00:00:00+00:00,7296.57756843
2019-11-23 00:00:00+00:00,7397.7968154
2019-11-24 00:00:00+00:00,7047.91688176
2019-11-25 00:00:00+00:00,7146.13390214
2019-11-26 00:00:00+00:00,7218.37133433
2019-11-27 00:00:00+00:00,7531.6636446
2019-11-28 00:00:00+00:00,7463.1061283
2019-11-29 00:00:00+00:00,7761.24360172
2019-11-30 00:00:00+00:00,7569.63012202
2019-12-01 00:00:00+00:00,7424.29226516
2019-12-02 00:00:00+00:00,7321.98811242
2019-12-03 00:00:00+00:00,7320.1454684
2019-12-04 00:00:00+00:00,7252.03458617
2019-12-05 00:00:00+00:00,7448.30752084
2019-12-06 00:00:00+00:00,7546.99669772
2019-12-07 00:00:00+00:00,7556.23803387
2019-12-08 00:00:00+00:00,7561.79517117
2019-12-09 00:00:00+00:00,7400.89935576
