datetime,litecoin_price_usd
2019-07-28 00:00:00+00:00,89.7717975771
2019-07-29 00:00:00+00:00,90.471448827
2019-07-30 00:00:00+00:00,90.5669481151
2019-07-31 00:00:00+00:00,98.5095781702
2019-08-01 00:00:00+00:00,99.1797221962
2019-08-02 00:00:00+00:00,95.016814122
2019-08-03 00:00:00+00:00,94.5808806283
2019-08-04 00:00:00+00:00,93.2037819251
2019-08-05 00:00:00+00:00,96.8895988002
2019-08-06 00:00:00+00:00,93.0697157826
2019-08-07 00:00:00+00:00,90.9125986794
2019-08-08 00:00:00+00:00,90.0316084005
2019-08-09 00:00:00+00:00,84.3909948785
2019-08-10 00:00:00+00:00,85.4194762795
2019-08-11 00:00:00+00:00,89.7526674359
2019-08-12 00:00:00+00:00,85.7492298819
2019-08-13 00:00:00+00:00,84.4203493571
2019-08-14 00:00:00+00:00,76.0649859941
2019-08-15 00:00:00+00:00,76.3889783029
2019-08-16 00:00:00+00:00,74.9201538873
2019-08-17 00:00:00+00:00,72.7977220768
2019-08-18 00:00:00+00:00,76.2699484391
2019-08-19 00:00:00+00:00,77.2631905343
2019-08-20 00:00:00+00:00,75.1965663598
2019-08-21 00:00:00+00:00,72.9649534092
2019-08-22 00:00:00+00:00,73.5985957813
2019-08-23 00:00:00+00:00,75.4028134995
2019-08-24 00:00:00+00:00,73.4636165112
2019-08-25 00:00:00+00:00,72.3081471739
2019-08-26 00:00:00+00:00,73.8571740551
2019-08-27 00:00:00+00:00,72.8362287979
2019-08-28 00:00:00+00:00,67.4255418594
2019-08-29 00:00:00+00:00,64.098055358
2019-08-30 00:00:00+00:00,64.3329790986
2019-08-31 00:00:00+00:00,64.5760532334
2019-09-01 00:00:00+00:00,66.1447228307
2019-09-02 00:00:00+00:00,66.9449522931
2019-09-03 00:00:00+00:00,69.1765010412
2019-09-04 00:00:00+00:00,67.285630942
2019-09-05 00:00:00+00:00,65.3955698556
2019-09-06 00:00:00+00:00,65.2368801491
2019-09-07 00:00:00+00:00,69.0387130318
2019-09-08 00:00:00+00:00,70.5493658145
2019-09-09 00:00:00+00:00,70.192236678
2019-09-10 00:00:00+00:00,70.8233944117
2019-09-11 00:00:00+00:00,69.9221432504
2019-09-12 00:00:00+00:00,69.225073175
2019-09-13 00:00:00+00:00,68.9886186746
2019-09-14 00:00:00+00:00,70.5623041408
2019-09-15 00:00:00+00:00,70.3151768163
2019-09-16 00:00:00+00:00,72.5731088494
2019-09-17 00:00:00+00:00,74.2212287374
2019-09-18 00:00:00+00:00,77.969133904
2019-09-19 00:00:00+00:00,77.0596237469
2019-09-20 00:00:00+00:00,75.149092387
2019-09-21 00:00:00+00:00,73.5165287108
2019-09-22 00:00:00+00:00,72.6132108664
2019-09-23 00:00:00+00:00,66.8518935239
2019-09-24 00:00:00+00:00,55.8236396096
2019-09-25 00:00:00+00:00,57.6580077078
2019-09-26 00:00:00+00:00,55.540617166
2019-09-27 00:00:00+00:00,56.3608494395
2019-09-28 00:00:00+00:00,55.682246555
2019-09-29 00:00:00+00:00,54.3143365735
2019-09-30 00:00:00+00:00,56.0569087721
2019-10-01 00:00:00+00:00,56.0580761672
2019-10-02 00:00:00+00:00,56.508924523
2019-10-03 00:00:00+00:00,56.5237112883
2019-10-04 00:00:00+00:00,56.8532121139
2019-10-05 00:00:00+00:00,56.8438715454
2019-10-06 00:00:00+00:00,55.4115690949
2019-10-07 00:00:00+00:00,57.7883001149
2019-10-08 00:00:00+00:00,57.3985867554
2019-10-09 00:00:00+00:00,59.430865842
2019-10-10 00:00:00+00:00,57.7760831796
