Date,Price,lagprice,lite_return
2019-04-02T00:00:00.000Z,76.1932596939,,
2019-04-03T00:00:00.000Z,85.1739312234,76.1932596939,0.11786700773243054
2019-04-04T00:00:00.000Z,84.9809052844,85.1739312234,-0.0022662560742174416
2019-04-05T00:00:00.000Z,88.6778605953,84.9809052844,0.04350336465030176
2019-04-06T00:00:00.000Z,92.57341716399999,88.6778605953,0.043929302562656265
2019-04-07T00:00:00.000Z,92.3123691536,92.57341716399999,-0.0028199024989811606
2019-04-08T00:00:00.000Z,89.49304254799999,92.3123691536,-0.03054115750088582
2019-04-09T00:00:00.000Z,86.7743315292,89.49304254799999,-0.030379020998663676
2019-04-10T00:00:00.000Z,88.3777407722,86.7743315292,0.018477921002024042
2019-04-11T00:00:00.000Z,79.6779906128,88.3777407722,-0.0984382502130738
2019-04-12T00:00:00.000Z,78.9639611934,79.6779906128,-0.008961438584337239
2019-04-13T00:00:00.000Z,78.221303601,78.9639611934,-0.009405019469338204
2019-04-14T00:00:00.000Z,82.93752123979999,78.221303601,0.06029326310971498
2019-04-15T00:00:00.000Z,79.05469905380001,82.93752123979999,-0.04681623139873511
2019-04-16T00:00:00.000Z,81.34927811909999,79.05469905380001,0.02902520777086797
2019-04-17T00:00:00.000Z,79.3274682066,81.34927811909999,-0.024853446265865376
2019-04-18T00:00:00.000Z,82.0988163512,79.3274682066,0.03493554259644735
2019-04-19T00:00:00.000Z,82.5692227845,82.0988163512,0.005729759017325021
2019-04-20T00:00:00.000Z,81.5220146553,82.5692227845,-0.01268279019572635
2019-04-21T00:00:00.000Z,77.331559117,81.5220146553,-0.05140274754026292
2019-04-22T00:00:00.000Z,76.948077732,77.331559117,-0.004958924782827692
2019-04-23T00:00:00.000Z,74.8450217987,76.948077732,-0.027330844321084468
2019-04-24T00:00:00.000Z,73.3089431536,74.8450217987,-0.020523457782287473
2019-04-25T00:00:00.000Z,71.24811783310001,73.3089431536,-0.02811151316398135
2019-04-26T00:00:00.000Z,73.1153465683,71.24811783310001,0.026207411395399997
2019-04-27T00:00:00.000Z,72.1203074518,73.1153465683,-0.013609169117053824
2019-04-28T00:00:00.000Z,69.784255653,72.1203074518,-0.03239104048968798
2019-04-29T00:00:00.000Z,67.96038021140001,69.784255653,-0.026135915967480654
2019-04-30T00:00:00.000Z,74.28087406,67.96038021140001,0.09300262636758709
2019-05-01T00:00:00.000Z,73.65776862140001,74.28087406,-0.008388504396120626
2019-05-02T00:00:00.000Z,73.7644482518,73.65776862140001,0.001448314718143676
2019-05-03T00:00:00.000Z,79.32653440930001,73.7644482518,0.07540334523364754
2019-05-04T00:00:00.000Z,78.0638386356,79.32653440930001,-0.015917697440113655
2019-05-05T00:00:00.000Z,75.9843672914,78.0638386356,-0.026638087244299124
2019-05-06T00:00:00.000Z,74.9799397999,75.9843672914,-0.013218870240085456
2019-05-07T00:00:00.000Z,74.6930011516,74.9799397999,-0.003826872214965115
2019-05-08T00:00:00.000Z,74.6202879446,74.6930011516,-0.0009734942481749394
2019-05-09T00:00:00.000Z,74.1771403698,74.6202879446,-0.005938700948581143
2019-05-10T00:00:00.000Z,77.162751379,74.1771403698,0.040249745330106335
2019-05-11T00:00:00.000Z,89.22225597290002,77.162751379,0.15628660692342852
2019-05-12T00:00:00.000Z,84.5655110516,89.22225597290002,-0.052192638154256454
2019-05-13T00:00:00.000Z,88.05823610610001,84.5655110516,0.041302003749126875
2019-05-14T00:00:00.000Z,91.62040611219999,88.05823610610001,0.040452434248262385
2019-05-15T00:00:00.000Z,101.74456601700001,91.62040611219999,0.11050114635381333
2019-05-16T00:00:00.000Z,95.5855849808,101.74456601700001,-0.0605337589741249
2019-05-17T00:00:00.000Z,88.99523448149999,95.5855849808,-0.06894711687566474
2019-05-18T00:00:00.000Z,86.6753308508,88.99523448149999,-0.02606772872970238
2019-05-19T00:00:00.000Z,95.32120147209999,86.6753308508,0.09975007348033897
2019-05-20T00:00:00.000Z,91.49367839700001,95.32120147209999,-0.040153953328213886
2019-05-21T00:00:00.000Z,91.50774851620001,91.49367839700001,0.00015378241914100154
2019-05-22T00:00:00.000Z,88.2105722826,91.50774851620001,-0.03603166165776988
2019-05-23T00:00:00.000Z,89.1767760856,88.2105722826,0.01095337869370776
2019-05-24T00:00:00.000Z,100.04553941799999,89.1767760856,0.12187885466914798
2019-05-25T00:00:00.000Z,102.700590371,100.04553941799999,0.026538424086124952
2019-05-26T00:00:00.000Z,111.41860284299999,102.700590371,0.0848876568333898
2019-05-27T00:00:00.000Z,118.03260328399999,111.41860284299999,0.05936172481286445
2019-05-28T00:00:00.000Z,114.925445645,118.03260328399999,-0.026324570945231256
2019-05-29T00:00:00.000Z,115.081232591,114.925445645,0.0013555478956438056
2019-05-30T00:00:00.000Z,108.795580409,115.081232591,-0.05461926363214483
2019-05-31T00:00:00.000Z,114.53695926799999,108.795580409,0.05277216994859696
2019-06-01T00:00:00.000Z,112.61926671799999,114.53695926799999,-0.01674300210391367
2019-06-02T00:00:00.000Z,114.702837715,112.61926671799999,0.01850101725681891
2019-06-03T00:00:00.000Z,107.468575541,114.702837715,-0.06306960070137785
2019-06-04T00:00:00.000Z,102.11949733700001,107.468575541,-0.0497734168064718
2019-06-05T00:00:00.000Z,103.84929019100001,102.11949733700001,0.01693890881867136
2019-06-06T00:00:00.000Z,111.10722638899999,103.84929019100001,0.06988912668205202
2019-06-07T00:00:00.000Z,117.374409829,111.10722638899999,0.05640662307650301
2019-06-08T00:00:00.000Z,118.58605552600001,117.374409829,0.010322911942775487
