datetime,litecoin_daily_trading_volume_usd
2019-07-25 00:00:00+00:00,2689861082.0
2019-07-26 00:00:00+00:00,2260844510.0
2019-07-27 00:00:00+00:00,2626517608.0
2019-07-28 00:00:00+00:00,2459085532.0
2019-07-29 00:00:00+00:00,2459728098.0
2019-07-30 00:00:00+00:00,2302521844.0
2019-07-31 00:00:00+00:00,3051471469.0
2019-08-01 00:00:00+00:00,2953184688.0
2019-08-02 00:00:00+00:00,2885143536.0
2019-08-03 00:00:00+00:00,2512959054.0
2019-08-04 00:00:00+00:00,2427608116.0
2019-08-05 00:00:00+00:00,4138221312.0
2019-08-06 00:00:00+00:00,3245339848.0
2019-08-07 00:00:00+00:00,3105989435.0
2019-08-08 00:00:00+00:00,3034717882.0
2019-08-09 00:00:00+00:00,3002531054.0
2019-08-10 00:00:00+00:00,3088060147.0
2019-08-11 00:00:00+00:00,3025787942.0
2019-08-12 00:00:00+00:00,2716187718.0
2019-08-13 00:00:00+00:00,2683226726.0
2019-08-14 00:00:00+00:00,3093090405.0
2019-08-15 00:00:00+00:00,3654075558.0
2019-08-16 00:00:00+00:00,3016089035.0
2019-08-17 00:00:00+00:00,2482385549.0
2019-08-18 00:00:00+00:00,2743241606.0
2019-08-19 00:00:00+00:00,2346796021.0
2019-08-20 00:00:00+00:00,2430165429.0
2019-08-21 00:00:00+00:00,2878567011.0
2019-08-22 00:00:00+00:00,2908864702.0
2019-08-23 00:00:00+00:00,2496513401.0
2019-08-24 00:00:00+00:00,2191973574.0
2019-08-25 00:00:00+00:00,2227400266.0
2019-08-26 00:00:00+00:00,3046136697.0
2019-08-27 00:00:00+00:00,2489689273.0
2019-08-28 00:00:00+00:00,2883041615.0
2019-08-29 00:00:00+00:00,3092332444.0
2019-08-30 00:00:00+00:00,2377466438.0
2019-08-31 00:00:00+00:00,2283340831.0
2019-09-01 00:00:00+00:00,2228146663.0
2019-09-02 00:00:00+00:00,2400017919.0
2019-09-03 00:00:00+00:00,2820206250.0
2019-09-04 00:00:00+00:00,2696779273.0
2019-09-05 00:00:00+00:00,2379080139.0
